Ticker,Sector,Industry,Title,Cap
KRKN,Energy,Oil & Gas Refining and Marketing,SARATOV OIL REFINE,5.16B
KROT,Consumer Non-Cyclicals,Food Processing,KRASNYJ OCTYABR,2.83B
KRSB,Utilities,Electric Utilities,KRASNOYARSKENERGOS,2.41B
KTSB,Utilities,Electric Utilities,KOSTROMSKAYA SBYTO,450.14M
KUBE,Utilities,Electric Utilities,KUBANENERGO,20.84B
KUZB,Financials,Banks,KUZNETSKY BANK PUB,243.71M
KZOS,Basic Materials,Commodity Chemicals,ORGANICHESKY SINTE,183.15B
KZOSP,Basic Materials,Commodity Chemicals,ORGANICHESKY SINTE,183.97B
LIFE,Healthcare,Pharmaceuticals,PHARMSYNTHEZ,1.76B
LKOH,Energy,Integrated Oil & Gas,LUKOIL,3.78T
LNZL,Basic Materials,Gold,LENZOLOTO,6.35B
LNZLP,Basic Materials,Gold,LENZOLOTO,6.34B
LPSB,Utilities,Electric Utilities,LIPETSK POWER SALE,1.06B
LSNG,Utilities,Electric Utilities,LENENERGO,58.01B
LSNGP,Utilities,Electric Utilities,LENENERGO,59.12B
LSRG,Financials,Real Estate Development & Operations,LSR GROUP,335.45B
LVHK,Technology,Office Equipment,LEVENHUK AO,403.4M
MAGN,Basic Materials,Steel,MAGNITOGORSK IRON&,494.18B
MFGS,Energy,Oil & Gas Exploration and Production,SLAVNEFT MEGIONEFT,50.51B
MFGSP,Energy,Oil & Gas Exploration and Production,SLAVNEFT MEGIONEFT,51.24B
MFON,Telecommunications Services,Wireless Telecommunications Services,MEGAFON,313.4B
MGNT,Consumer Non-Cyclicals,Food Retail & Distribution,Magnit,358.35B
MGNZ,Basic Materials,Specialty Mining & Metals,SOLIKAMSK MAGNESIU,1.19B
MGTS,Telecommunications Services,Integrated Telecommunications Services,MOSCOW CITY TELEPH,151.45B
