Ticker,Sector,Industry,Title
VLHZ,Basic Materials,Commodity Chemicals,VLADIMIR CHEMICAL
VRSB,Utilities,Electric Utilities,TNS ENERGO VORONEZ
VRSBP,Utilities,Electric Utilities,TNS ENERGO VORONEZ
VSMO,Basic Materials,Specialty Mining & Metals,VSMPO-AVISMA CORPO
VSYD,Industrials,Shipbuilding,VYBORG SHIPYARD P
VSYDP,Industrials,Shipbuilding,VYBORG SHIPYARD P
VTBR,Financials,Banks,VTB
VZRZ,Financials,Banks,VOZROZHDENIE BANK
VZRZP,Financials,Banks,VOZROZHDENIE BANK
WTCM,Financials,Real Estate Development & Operations,WORLD TRADE CENTER
WTCMP,Financials,Real Estate Development & Operations,WORLD TRADE CENTER
YAKG,Energy,Oil & Gas Exploration and Production,YAKUTSK FUEL & ENE
YKEN,Utilities,Electric Utilities,YAKUTSKENERGO
YKENP,Utilities,Electric Utilities,YAKUTSKENERGO
YNDX,Technology,Internet Services,YANDEX N.V
YRSB,Utilities,Electric Utilities,TNS ENERGO YAROSAV
YRSBP,Utilities,Electric Utilities,TNS ENERGO YAROSAV
ZILL,Industrials,Heavy Machinery & Vehicles,LIKHACHOV PLANT PJ
ZVEZ,Industrials,Heavy Electrical Equipment,ZVEZDA
